"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"04-May-2022","    17096.60","    17132.85","    16623.95","    16677.60","      310632799","        27405.52"
"05-May-2022","    16854.75","    16945.70","    16651.85","    16682.65","      265793403","        21792.91"
"06-May-2022","    16415.55","    16484.20","    16340.90","    16411.25","      300527719","        25472.95"
"09-May-2022","    16227.70","    16403.70","    16142.10","    16301.85","      288402950","        23274.74"
"10-May-2022","    16248.90","    16404.55","    16197.30","    16240.05","      283061200","        22685.27"
"11-May-2022","    16270.05","    16318.75","    15992.60","    16167.10","      284294438","        22994.38"
"12-May-2022","    16021.10","    16041.95","    15735.75","    15808.00","      314921678","        25352.34"
"13-May-2022","    15977.00","    16083.60","    15740.85","    15782.15","      369135540","        27454.12"
"16-May-2022","    15845.10","    15977.95","    15739.65","    15842.30","      217646558","        17852.19"
"17-May-2022","    15912.60","    16284.25","    15900.80","    16259.30","      295687774","        22782.99"
"18-May-2022","    16318.15","    16399.80","    16211.20","    16240.30","      290441105","        23889.84"
"19-May-2022","    15917.40","    15984.75","    15775.20","    15809.40","      313876082","        24340.84"
"20-May-2022","    16043.80","    16283.05","    16003.85","    16266.15","      252402013","        22806.69"
"23-May-2022","    16290.95","    16414.70","    16185.75","    16214.70","      293829853","        25110.85"
"24-May-2022","    16225.55","    16262.80","    16078.60","    16125.15","      249778296","        21895.75"
"25-May-2022","    16196.35","    16223.35","    16006.95","    16025.80","      243342347","        21400.14"
"26-May-2022","    16105.00","    16204.45","    15903.70","    16170.15","      314305739","        27721.21"
"27-May-2022","    16296.60","    16370.60","    16221.95","    16352.45","      274064956","        21341.98"
"30-May-2022","    16527.90","    16695.50","    16506.15","    16661.40","      251400757","        21216.50"
"31-May-2022","    16578.45","    16690.75","    16521.90","    16584.55","      651613610","        52929.35"
"01-Jun-2022","    16594.40","    16649.20","    16438.85","    16522.75","      249619038","        19350.33"
"02-Jun-2022","    16481.65","    16646.40","    16443.05","    16628.00","      235958283","        20055.84"
"03-Jun-2022","    16761.65","    16793.85","    16567.90","    16584.30","      245514871","        22249.29"
"06-Jun-2022","    16530.70","    16610.95","    16444.55","    16569.55","      233589132","        17999.41"
"07-Jun-2022","    16469.60","    16487.25","    16347.10","    16416.35","      233814633","        17921.95"
"08-Jun-2022","    16474.95","    16514.30","    16293.35","    16356.25","      243481044","        18336.15"
"09-Jun-2022","    16263.85","    16492.80","    16243.85","    16478.10","      204954394","        16721.68"
"10-Jun-2022","    16283.95","    16324.70","    16172.60","    16201.80","      189680523","        18388.03"
"13-Jun-2022","    15877.55","    15886.15","    15684.00","    15774.40","      225534385","        20002.64"
"14-Jun-2022","    15674.25","    15858.00","    15659.45","    15732.10","      225425862","        19825.41"
"15-Jun-2022","    15729.25","    15783.65","    15678.90","    15692.15","      183011236","        16063.24"
"16-Jun-2022","    15832.25","    15863.15","    15335.10","    15360.60","      264735957","        21383.06"
"17-Jun-2022","    15272.65","    15400.40","    15183.40","    15293.50","      342629997","        29074.00"
"20-Jun-2022","    15334.50","    15382.50","    15191.10","    15350.15","      260022438","        18531.78"
"21-Jun-2022","    15455.95","    15707.25","    15419.85","    15638.80","      262794687","        18934.27"
"22-Jun-2022","    15545.65","    15565.40","    15385.95","    15413.30","      220889589","        16817.07"
"23-Jun-2022","    15451.55","    15628.45","    15367.50","    15556.65","      259171810","        21722.06"
"24-Jun-2022","    15657.40","    15749.25","    15619.45","    15699.25","      219599372","        18259.72"
"27-Jun-2022","    15926.20","    15927.45","    15815.50","    15832.05","      210932505","        17770.42"
"28-Jun-2022","    15757.45","    15892.10","    15710.15","    15850.20","      251865155","        18419.75"
"29-Jun-2022","    15701.70","    15861.60","    15687.80","    15799.10","      444949551","        22528.57"
"30-Jun-2022","    15774.50","    15890.00","    15728.85","    15780.25","      306027777","        23970.65"
"01-Jul-2022","    15703.70","    15793.95","    15511.05","    15752.05","      364090131","        25891.94"
"04-Jul-2022","    15710.50","    15852.35","    15661.80","    15835.35","      304328467","        19875.22"
"05-Jul-2022","    15909.15","    16025.75","    15785.45","    15810.85","      254164463","        19129.60"
"06-Jul-2022","    15818.20","    16011.35","    15800.90","    15989.80","      288375300","        22836.77"
"07-Jul-2022","    16113.75","    16150.50","    16045.95","    16132.90","      264615218","        21465.33"
"08-Jul-2022","    16273.65","    16275.50","    16157.90","    16220.60","      281102369","        20990.69"
"11-Jul-2022","    16136.15","    16248.55","    16115.50","    16216.00","      255915072","        20240.69"
"12-Jul-2022","    16126.20","    16158.75","    16031.15","    16058.30","      208648707","        16042.52"
"13-Jul-2022","    16128.20","    16140.00","    15950.15","    15966.65","      233264100","        19649.66"
"14-Jul-2022","    16018.85","    16070.85","    15858.20","    15938.65","      228603433","        18858.83"
"15-Jul-2022","    16010.80","    16066.95","    15927.30","    16049.20","      205768079","        17031.43"
"18-Jul-2022","    16151.40","    16287.95","    16142.20","    16278.50","      227744850","        19420.93"
"19-Jul-2022","    16187.05","    16359.50","    16187.05","    16340.55","      222630928","        18068.59"
"20-Jul-2022","    16562.80","    16588.00","    16490.95","    16520.85","      284359582","        22061.81"
"21-Jul-2022","    16523.55","    16626.95","    16483.90","    16605.25","      243625339","        20603.17"
"22-Jul-2022","    16661.25","    16752.25","    16610.90","    16719.45","      190906776","        18600.11"
"25-Jul-2022","    16662.55","    16706.05","    16564.25","    16631.00","      211392171","        19384.43"
"26-Jul-2022","    16632.90","    16636.10","    16463.30","    16483.85","      208208122","        20087.54"
"27-Jul-2022","    16475.35","    16653.45","    16438.75","    16641.80","      185210970","        17608.03"
"28-Jul-2022","    16774.85","    16947.65","    16746.25","    16929.60","      376256315","        26674.28"
"29-Jul-2022","    17079.50","    17172.80","    17018.15","    17158.25","      436059722","        28241.29"
"01-Aug-2022","    17243.20","    17356.25","    17154.80","    17340.05","      381532671","        23221.04"
"02-Aug-2022","    17310.15","    17390.15","    17215.85","    17345.45","      333639093","        22576.94"
"03-Aug-2022","    17349.25","    17407.50","    17225.85","    17388.15","      285414666","        20842.13"
"04-Aug-2022","    17463.10","    17490.70","    17161.25","    17382.00","      324981426","        21848.21"
